thread_num,thread_label_id
126856,3.0
132415,8.0
134482,8.0
133728,1.0
134270,3.0
134151,8.0
134140,4.0
134121,3.0
133676,9.0
129509,8.0
133901,1.0
130747,11.0
130600,8.0
133427,8.0
125287,8.0
128261,8.0
130610,3.0
127764,8.0
125058,8.0
127940,3.0
126947,4.0
124597,8.0
127942,8.0
128096,3.0
126082,8.0
119565,8.0
126357,3.0
124340,8.0
124713,3.0
124335,3.0
124225,8.0
125236,3.0
108862,3.0
124624,8.0
122827,8.0
124271,3.0
123460,8.0
122540,8.0
120520,8.0
121057,3.0
120310,8.0
119678,8.0
119041,8.0
117173,1.0
119154,3.0
117744,8.0
117205,8.0
118107,3.0
118116,3.0
117192,8.0
115758,8.0
115529,8.0
115600,1.0
113809,8.0
110920,3.0
114444,8.0
113813,8.0
113368,8.0
113334,8.0
114175,3.0
110494,1.0
106624,8.0
112192,8.0
103314,8.0
108236,1.0
106934,4.0
104763,8.0
105022,8.0
105550,8.0
103070,8.0
101298,8.0
102408,8.0
103114,3.0
99162,8.0
98843,8.0
100355,8.0
98886,8.0
99587,3.0
98714,8.0
97189,9.0
99921,3.0
89865,8.0
99193,8.0
97468,8.0
96665,8.0
96868,3.0
97045,8.0
98055,3.0
97117,3.0
96977,8.0
95082,8.0
92846,8.0
94890,8.0
93940,3.0
94692,8.0
95709,4.0
93649,1.0
93126,3.0
94842,8.0
92881,8.0
91413,1.0
91240,8.0
89396,3.0
92811,8.0
92135,3.0
92017,8.0
131512,8.0
123832,8.0
112233,8.0
111041,8.0
106608,8.0
110262,8.0
106647,8.0
104547,8.0
97011,2.0
92878,8.0
89665,8.0
117245,8.0
134925,8.0
144075,3.0
172127,8.0
171844,8.0
136990,8.0
171530,3.0
170311,8.0
170712,8.0
170233,8.0
168550,12.0
165048,8.0
167866,11.0
163675,2.0
163859,8.0
164260,11.0
163788,8.0
163840,8.0
162673,8.0
163035,3.0
163303,9.0
162606,8.0
162468,8.0
161267,8.0
159788,8.0
155932,3.0
161128,8.0
161091,3.0
159786,8.0
160549,8.0
157243,4.0
158686,8.0
159133,8.0
156890,3.0
157780,2.0
156239,8.0
155855,3.0
156862,3.0
155426,3.0
145144,2.0
156696,1.0
156467,8.0
156225,9.0
155155,3.0
155483,12.0
154698,8.0
153956,4.0
153148,3.0
154784,3.0
154394,1.0
153798,3.0
153944,8.0
153264,1.0
153468,2.0
153969,8.0
153327,8.0
153153,1.0
150970,3.0
152454,3.0
151207,3.0
151847,2.0
153031,8.0
152897,1.0
150126,3.0
152823,2.0
141863,12.0
149600,1.0
150728,8.0
149482,8.0
149777,1.0
149894,3.0
149476,1.0
149601,8.0
148620,3.0
148604,8.0
147607,4.0
147634,8.0
145955,8.0
147264,2.0
145415,3.0
145125,8.0
142461,8.0
144759,2.0
144554,8.0
142803,3.0
140896,1.0
142805,3.0
140835,3.0
139933,8.0
139724,8.0
139254,3.0
137283,3.0
139993,8.0
138613,8.0
137990,3.0
138567,2.0
135628,8.0
138309,8.0
138660,8.0
138619,8.0
138311,3.0
137849,1.0
137322,8.0
138263,4.0
136618,8.0
136649,11.0
136304,8.0
167537,8.0
164885,8.0
161581,8.0
156180,
156520,
150876,
150526,
147956,
137539,
138215,
139118,
137698,
