thread_num,thread_label_id
126856,12
132415,12
134482,12
133728,11
134270,8
134151,9
134140,11
134121,8
133676,9
129509,11
133901,5
130747,8
130600,11
133427,12
125287,8
128261,8
130610,8
127764,11
125058,3
127940,8
126947,12
124597,11
127942,8
128096,8
126082,5
119565,12
126357,11
124340,5
124713,12
124335,9
124225,3
125236,8
108862,8
124624,8
122827,11
124271,8
123460,2
122540,3
120520,5
121057,8
120310,4
119678,8
119041,5
117173,12
119154,8
117744,9
117205,11
118107,8
118116,8
117192,8
115758,0
115529,11
115600,5
113809,1
110920,8
114444,8
113813,11
113368,1
113334,5
114175,8
110494,11
106624,9
112192,8
103314,8
108236,12
106934,4
104763,8
105022,5
105550,8
103070,12
101298,9
102408,12
103114,0
99162,10
98843,8
100355,8
98886,11
99587,4
98714,12
97189,5
99921,8
89865,8
99193,3
97468,8
96665,12
96868,8
97045,12
98055,8
97117,8
96977,8
95082,8
92846,12
94890,12
93940,0
94692,8
95709,8
93649,9
93126,5
94842,8
92881,12
91413,12
91240,12
89396,8
92811,8
92135,8
92017,8
131512,0
123832,8
112233,9
111041,4
106608,8
110262,8
106647,12
104547,4
97011,8
92878,12
89665,3
117245,8
134925,12
144075,8
172127,8
171844,12
136990,5
171530,12
170311,8
170712,9
170233,12
168550,12
165048,8
167866,5
163675,12
163859,4
164260,12
163788,5
163840,8
162673,12
163035,8
163303,12
162606,12
162468,0
161267,8
159788,0
155932,3
161128,8
161091,8
159786,5
160549,12
157243,8
158686,8
159133,12
156890,12
157780,1
156239,5
155855,12
156862,8
155426,12
145144,12
156696,8
156467,8
156225,4
155155,8
155483,3
154698,12
153956,8
153148,12
154784,8
154394,8
153798,12
153944,8
153264,8
153468,5
153969,8
153327,1
153153,8
150970,5
152454,5
151207,9
151847,12
153031,8
152897,5
150126,8
152823,12
141863,12
149600,8
150728,12
149482,11
149777,5
149894,11
149476,11
149601,8
148620,11
148604,11
147607,8
147634,12
145955,9
147264,12
145415,3
145125,8
142461,5
144759,11
144554,5
142803,12
140896,12
142805,8
140835,0
139933,11
139724,8
139254,8
137283,5
139993,8
138613,11
137990,12
138567,1
135628,3
138309,12
138660,8
138619,8
138311,8
137849,12
137322,8
138263,8
136618,9
136649,5
136304,1
167537,1
164885,8
161581,12
156180,12
156520,12
150876,9
150526,8
147956,11
137539,12
138215,5
139118,9
137698,8
